,latitude,longitude,annee
0,49.4226854,0.4522297,2013.0
2,49.3903615,0.5188895,2013.0
3,49.4787247,0.479906,2013.0
4,49.4909473,0.5820843,2013.0
5,49.4855736,0.5811995,2013.0
6,49.4840943,0.5573612,2013.0
7,49.4787247,0.479906,2013.0
8,49.4829361,0.5077218,2013.0
9,49.4914294,0.5634488,2013.0
10,49.4787247,0.479906,2013.0
11,49.4850402,0.521625,2013.0
12,49.478724,0.479906,2013.0
13,49.4914294,0.5634488,2013.0
14,49.4787247,0.479906,2013.0
15,49.4914294,0.5634488,2013.0
16,49.4787247,0.479906,2013.0
17,49.4914294,0.5634488,2013.0
18,49.4829596,0.5077535,2013.0
19,49.478724,0.479906,2013.0
20,49.4914294,0.5634488,2013.0
21,49.4829596,0.5077535,2013.0
22,49.4787247,0.479906,2013.0
23,49.4877295,0.535046,2013.0
24,49.4518903,0.5423148,2013.0
25,49.3903615,0.5188895,2013.0
26,49.3909617,0.5204377,2013.0
27,49.4226704,0.4513538,2013.0
28,49.5156273,0.485709,2013.0
29,49.4981938,0.4796483,2013.0
30,49.4817599,0.4306121,2013.0
31,49.4845009,0.4221135,2013.0
32,49.4845663,0.387074,2013.0
33,49.4992399,0.1599894,2013.0
34,49.5301144,0.1852383,2013.0
35,49.5342322,0.1825244,2013.0
36,49.5312161,0.1838557,2013.0
37,49.5004239,0.204733,2013.0
38,49.4858714,0.4178642,2013.0
39,49.4759862,0.4771978,2013.0
40,49.5040799,0.5271437,2013.0
41,49.4850561,0.5216783,2013.0
42,49.4879671,0.5688592,2013.0
43,49.4884902,0.5660674,2013.0
44,49.4944829,0.5535028,2013.0
45,49.5509179,0.4909377,2013.0
46,49.52414,0.5294748,2013.0
47,49.5204826,0.5285191,2013.0
48,49.5171511,0.5298616,2013.0
49,49.5104355,0.5302941,2013.0
50,49.506009,0.5225836,2013.0
51,49.5057351,0.5036947,2013.0
52,49.5024018,0.4850876,2013.0
53,49.4814229,0.4687172,2013.0
54,49.4752565,0.4587954,2013.0
55,49.4817828,0.4436915,2013.0
56,49.4779822,0.4570415,2013.0
57,49.4740658,0.4632177,2013.0
58,49.3890047,0.5131981,2013.0
59,49.4226704,0.4513538,2013.0
60,49.3903437,0.5194185,2013.0
61,49.5156273,0.485709,2013.0
62,49.4914294,0.5634488,2013.0
63,49.4995495,0.5442586,2013.0
64,49.4935594,0.5584038,2013.0
65,49.4833334,0.526303,2013.0
66,49.487984,0.5726981,2013.0
67,49.4805431,0.4984659,2013.0
68,49.487984,0.5726981,2013.0
69,49.4786828,0.4799079,2013.0
70,49.4518903,0.5423148,2013.0
